X,Y,NAME,MK_TEXT
325.060,132.230,Resselpark,Parkanlage
110.920,252.330,Esperantopark,Parkanlage
172.580,280.180,Girardipark,Parkanlage
310.070,61.190,Technische Universitaet Wien,Universitaet
455.610,-14.390,Karlskirche,Kirche
132.720,207.550,Kunsthalle Wien am Karlsplatz,Museum
507.370,233.910,Archiv der Gesellschaft der Musikfreunde in Wien,Museum
556.020,104.100,Historisches Museum der Stadt Wien,Museum
143.090,-142.150,Generali Foundation,Museum
431.160,234.570,Kuenstlerhaus Wien,Museum
253.660,231.620,Wachzimmer Kaerntnertorpassage (Karlsplatz),Wachzimmer
523.780,7.020,Botschaft Australien,Auslaendische Vertretung
647.840,16.640,Botschaft Frankreich,Auslaendische Vertretung
462.880,-175.250,Botschaft Griechenland,Auslaendische Vertretung
162.300,380.190,Botschaft Panama,Auslaendische Vertretung
264.140,137.790,Spielplatz Resselpark,Spielplatz
376.700,276.730,Handelsakademie I und Handelsschule I der Wiener Kaufmannschaft Akademiestrasse 12,Mittlere und hoehere Schule (Privat)
214.400,103.670,Hauptschule Karlsplatz 14,Hauptschule (Privat)
214.400,103.670,Volksschule der evangelischen Pfarrgemeinde AB Karlsplatz 14,Volksschule (Privat)
448.010,137.180,Johannes Brahms,Denkmal
396.690,271.820,Donato Bramante,Denkmal
293.680,73.070,Adam Reichsfreiherr von Burg,Denkmal
376.210,279.230,Christoph Columbus,Denkmal
662.060,179.880,Georg Raphael Donner,Denkmal
397.590,269.880,Albrecht Duerer,Denkmal
351.110,49.650,Heinrich von Ferstel,Denkmal
147.230,267.270,Alexander Girardi,Denkmal
439.240,-46.870,Christoph Willibald Ritter von Gluck,Denkmal
275.930,80.460,Ferdinand Freiherr von Hochstetter,Denkmal
267.060,150.710,Josef Madersperger,Denkmal
394.420,266.270,Michelangelo di Lodovico,Denkmal
327.690,59.510,Johann Josef Ritter von Prechtl,Denkmal
267.300,83.670,Johann von Radinger,Denkmal
397.150,268.380,Raffael,Denkmal
342.980,52.610,Georg Rebhann Ritter von Aspernbruck,Denkmal
325.300,110.090,Joseph Ressel - Resselpark,Denkmal
395.940,270.730,Peter Paul Rubens,Denkmal
374.700,278.930,Adam Smith,Denkmal
283.820,76.760,Anton von Schroetter,Denkmal
335.580,55.810,Simon Stampfer,Denkmal
394.640,269.520,Tizian,Denkmal
396.280,269.280,Diego de Velasquez,Denkmal
395.810,267.410,Leonardo da Vinci,Denkmal
429.650,233.380,dietheater Kuenstlerhaus,Theater
530.640,102.150,Magistratsabteilung 10 - Museen der Stadt Wien,Staedtisches Amt
527.780,256.690,Musikverein,Objektname
429.200,233.830,Kuenstlerhaus,Kino
174.340,324.130,Cinemagic (ehem. Opernkino),Kino
210.340,-100.700,Hotel Kaiserhof,Hotel
98.330,-62.440,Pension Shermin,Hotel
